metric,mean
f134_gain,0.0
f135_gain,0.0
f136_gain,0.0
cold_ndcg@1,0.39731221553634294
cold_ndcg@3,0.40573862208309225
cold_ndcg@5,0.4175097406200035
cold_ndcg@10,0.44366555132281577
cold_map@1,0.15554967483741872
cold_map@3,0.20041036601634152
cold_map@5,0.2057786647907287
cold_map@10,0.20142870574424432
cold_auc,0.7427813193228281
cold_pooled_auc,0.7716186897571693
cold_auc_queries_used,1119.0
overall_ndcg@1,0.42197561904762254
overall_ndcg@3,0.4202537006258623
overall_ndcg@5,0.42851644502738234
overall_ndcg@10,0.4496794379218186
overall_map@1,0.22046
overall_map@3,0.2695666666666667
overall_map@5,0.2714773333333333
overall_map@10,0.26088890645313684
overall_auc,0.7566598353061401
overall_pooled_auc,0.7775065617675206
overall_auc_queries_used,1271.8
warm_ndcg@1,0.470573450076529
warm_ndcg@3,0.4952138625440521
warm_ndcg@5,0.5193830348454962
warm_ndcg@10,0.5633200393725254
